,Index,Category,Number,protein,carbonhydrate,fat,minerals,fibre,water
0,0000,Grilled beef tongue,293,0.27655562639869385,0.0,0.11362285410087385,0.006600187561726166,0.0,0.6032213319387062
1,0001,Flavored snail meat,416,0.12058544383337017,0.02435765823068076,0.02525979372070597,0.003440995352147837,0.0,0.8263561088630953
2,0002,Napoleon cake,462,0.0,0.0,1.0,0.0,0.0,0.0
3,0003,Spicy chicken,388,0.0,0.0,0.9979980040039919,1.999996000008e-06,0.0,0.001999996000008
4,0004,Noodles with pork chop,499,0.1953680785539486,0.0,0.12255451553460887,0.006479408294413701,0.0,0.6755979976170289
5,0005,Stir fried pork with capers,238,0.1882279937324649,0.014424379444150036,0.2768058731359778,0.01375845054047388,0.0,0.5067833031469333
6,0006,Bang bang chicken,861,0.0,0.0,0.9979980040039919,1.999996000008e-06,0.0,0.001999996000008
7,0007,Hibiscus crab stick,341,0.13707538460776503,0.014007703536559932,0.14207813587082216,0.006453599156856315,0.0020011005052228475,0.6983840763227738
8,0008,Tomato and egg flour pimple soup,843,0.03209296097696399,0.10447929251806576,0.020855362653799947,0.010483909814365606,0.007086773717310662,0.8250017003194939
9,0009,Grilled ribs,343,0.2938402273147998,0.0,0.03376672442702276,0.009609023664049181,0.0,0.6627840245941282
10,0010,Stir fried lettuce,240,0.04229912590233503,0.10417389379202978,0.0020657712649977573,0.003511289789176926,0.018690311445217805,0.8292596078062426
11,0011,Stir fried clams with chili sauce,329,0.008926186064741808,0.03868013961388116,0.005950790709827871,0.006217951458745594,0.006942589161465849,0.9332823429913378
12,0012,Brownie,500,0.047381378300998936,0.6307645986320484,0.1608992638138089,0.005978167726959914,0.020729353006687035,0.134247238519497
13,0013,Duck feet,1818,0.12865222681839528,0.01456250810981055,0.13829361149799396,0.0071382401821578935,0.0,0.7113534133916423
14,0014,Hand cake,1082,0.0,0.0,1.0,0.0,0.0,0.0
15,0015,Durian pancake,434,0.014244980839144106,0.2625146468927985,0.051650168620842235,0.004983243154206221,0.03682375999234531,0.6297832005006635
16,0016,Griddle rabbit,397,0.2023964323071101,0.0,0.056024947596232465,0.006490929293477664,0.0,0.7350876908031798
17,0017,Dried chiba bean curd,422,0.12590349734634204,0.06949873053518081,0.08158546628042965,0.008887668889595312,0.0,0.7141246369484522
18,0018,Plate reinforcement,309,0.2688522966727612,0.0,0.10144989139264733,0.006779343612143551,0.0,0.6229184683224479
19,0019,Tobi ko warship sushi,577,0.08182818081611798,0.11574968122716324,0.02896221672521994,0.0037790931914073625,0.009918567371650663,0.7597622606684408
20,0020,Meringue puffs,462,0.06009576935589345,0.8328943542878996,0.02232960735356299,0.01264301397506243,0.036892394758060595,0.035144860269520885
21,0021,Fried pork with sauerkraut,475,0.1882279937324649,0.014424379444150036,0.2768058731359778,0.01375845054047388,0.0,0.5067833031469333
22,0022,Potato salad,490,0.026740027733200257,0.11145004096262943,0.08181650276576197,0.0087232256367741,0.012970908975059826,0.7582992939265745
23,0023,Onion mixed fungus,742,0.09207407602647558,0.6997983568890248,0.009198562830694966,0.016815149749949448,0.13444053367938796,0.04767332082446718
24,0024,Crepe,362,0.008619980648650502,0.0006084692222576825,0.8225489769553438,0.007282463886591073,0.0,0.16094010928715702
25,0025,Crispy chicken bibimbap,673,0.0,0.0,0.9979980040039919,1.999996000008e-06,0.0,0.001999996000008
26,0026,Golden cake,496,0.0,0.0,1.0,0.0,0.0,0.0
27,0027,Bean sprouts in soup,478,0.03244997295835587,0.10324991395840505,0.008653326122228232,0.0011308323909730077,0.02556664536112887,0.828949309208909
28,0028,Steamed fish head with double pepper,381,0.12468444561540949,0.3107612325362411,0.07619049523571934,0.009423574409092467,0.009998752655606213,0.4689414995479314
29,0029,Mung bean soup,1947,0.04597092886022553,0.14676433188916724,0.012563483663664122,0.013005109150023222,0.0647209764491788,0.716975169987741
30,0030,Good harvest of coarse grains,211,,,,,,
31,0031,Crab fried rice cake,466,0.2015725451211814,0.0047874726203942135,0.07500373771950934,0.010489252772270799,0.0,0.7081469917666442
32,0032,Chicken casserole,381,0.0,0.0,0.9979980040039919,1.999996000008e-06,0.0,0.001999996000008
33,0033,Pan fried three stuffed treasures,230,0.2590121769883053,0.011152192259775751,0.06460233894626853,0.009966643893421211,0.0,0.6552666479122292
34,0034,Firewood chicken,480,0.0,0.0,0.9979980040039919,1.999996000008e-06,0.0,0.001999996000008
35,0035,Golden cod,336,0.0,0.0,1.0,0.0,0.0,0.0
36,0036,Wa xiang chicken,375,0.25507318058610445,0.03865355222772853,0.1399178062409965,0.014837719654221024,0.009059426303373875,0.5424583149875757
37,0037,Corn with pine nuts,1033,0.13345186276282242,0.1275055051086718,0.6664794636299612,0.014269367233264866,0.036068071016979036,0.02222573024830059
38,0038,Secret jujube,765,,,,,,
